"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 01월 27일","94.45","97.79","97.85","94.23","58.70M","-2.97%"
"2016년 01월 26일","97.34","97.76","97.88","95.66","26.88M","0.34%"
"2016년 01월 25일","97.01","98.72","99.48","96.93","32.48M","-0.95%"
"2016년 01월 22일","97.94","96.41","98.07","95.49","30.50M","4.01%"
"2016년 01월 21일","94.16","94.91","95.99","92.62","30.52M","-0.20%"
"2016년 01월 20일","94.35","92.83","95.00","89.37","59.05M","-0.96%"
"2016년 01월 19일","95.26","96.53","97.42","93.92","31.00M","0.31%"
"2016년 01월 15일","94.97","93.98","96.38","93.54","46.13M","-3.46%"
"2016년 01월 14일","98.37","95.85","98.87","92.45","48.66M","3.07%"
"2016년 01월 13일","95.44","100.58","100.58","95.21","33.41M","-3.95%"
"2016년 01월 12일","99.37","99.00","99.96","97.55","28.40M","1.91%"
"2016년 01월 11일","97.51","97.91","98.60","95.39","29.93M","0.18%"
"2016년 01월 08일","97.33","99.88","100.50","97.03","35.40M","-0.60%"
"2016년 01월 07일","97.92","100.50","101.43","97.30","45.17M","-4.90%"
"2016년 01월 06일","102.97","101.13","103.77","100.90","25.10M","0.23%"
"2016년 01월 05일","102.73","102.89","103.71","101.67","23.26M","0.50%"
"2016년 01월 04일","102.22","101.95","102.24","99.75","37.91M","-2.33%"
