"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 03월 03일","368.77","381.03","393.52","367.40","8.36M","-3.22%"
"2020년 03월 02일","381.05","373.11","381.36","364.50","7.00M","3.26%"
"2020년 02월 28일","369.03","364.21","376.77","356.80","11.18M","-0.72%"
"2020년 02월 27일","371.71","371.46","391.56","370.60","10.97M","-1.99%"
"2020년 02월 26일","379.24","366.31","382.00","365.00","8.96M","5.32%"
"2020년 02월 25일","360.09","372.00","375.65","357.72","6.48M","-2.34%"
"2020년 02월 24일","368.70","364.76","372.82","361.00","6.94M","-2.99%"
"2020년 02월 21일","380.07","385.33","387.32","377.90","3.94M","-1.54%"
"2020년 02월 20일","386.00","386.56","389.70","376.68","4.08M","-0.05%"
"2020년 02월 19일","386.19","388.12","392.95","384.90","4.90M","-0.41%"
"2020년 02월 18일","387.78","379.30","389.54","379.19","5.18M","1.94%"
"2020년 02월 14일","380.40","381.47","385.15","379.43","3.74M","-0.26%"
"2020년 02월 13일","381.40","376.96","385.37","376.51","4.49M","0.37%"
"2020년 02월 12일","380.01","377.18","380.62","375.88","4.62M","1.69%"
"2020년 02월 11일","373.69","373.75","378.11","369.72","4.77M","0.71%"
"2020년 02월 10일","371.07","365.00","374.80","362.52","5.29M","1.17%"
"2020년 02월 07일","366.77","365.04","371.80","363.57","4.39M","-0.05%"
"2020년 02월 06일","366.95","369.60","371.55","362.50","3.92M","-0.74%"
"2020년 02월 05일","369.67","375.12","375.25","362.30","6.44M","0.18%"
"2020년 02월 04일","369.01","361.00","369.57","356.10","7.16M","3.08%"
"2020년 02월 03일","358.00","347.24","359.63","346.28","6.67M","3.74%"
"2020년 01월 31일","345.09","347.39","347.39","340.98","5.23M","-0.76%"
"2020년 01월 30일","347.74","341.10","348.20","339.25","5.33M","1.33%"
"2020년 01월 29일","343.16","349.00","349.40","338.55","7.65M","-1.54%"
"2020년 01월 28일","348.52","345.88","352.40","342.78","6.82M","1.64%"
"2020년 01월 27일","342.88","345.95","351.90","341.02","7.71M","-2.91%"
"2020년 01월 24일","353.16","348.46","359.85","345.88","17.94M","1.02%"
"2020년 01월 23일","349.60","326.04","349.88","325.01","18.20M","7.24%"
"2020년 01월 22일","326.00","332.55","336.30","323.60","21.73M","-3.58%"
"2020년 01월 21일","338.11","340.00","341.00","332.59","14.35M","-0.46%"
"2020년 01월 17일","339.67","341.00","341.57","337.38","6.07M","0.31%"
"2020년 01월 16일","338.62","343.50","343.56","335.85","5.02M","-0.13%"
"2020년 01월 15일","339.07","338.68","343.17","336.60","5.16M","0.11%"
"2020년 01월 14일","338.69","344.40","345.38","335.52","7.20M","-0.07%"
"2020년 01월 13일","338.92","331.80","340.85","331.51","6.30M","3.00%"
"2020년 01월 10일","329.05","337.13","338.50","327.27","4.72M","-1.97%"
"2020년 01월 09일","335.66","342.00","343.42","334.61","4.72M","-1.06%"
"2020년 01월 08일","339.26","331.49","342.70","331.05","7.11M","2.57%"
"2020년 01월 07일","330.75","336.47","336.70","330.30","4.74M","-1.51%"
"2020년 01월 06일","335.83","323.12","336.36","321.20","5.67M","3.05%"
"2020년 01월 03일","325.90","326.78","329.86","325.53","3.80M","-1.19%"
"2020년 01월 02일","329.81","326.10","329.98","324.78","4.35M","1.93%"
"2019년 12월 31일","323.57","322.00","324.92","321.09","3.71M","0.08%"
"2019년 12월 30일","323.31","329.08","329.19","322.86","4.32M","-1.76%"
"2019년 12월 27일","329.09","332.96","333.82","326.01","5.04M","-1.06%"
"2019년 12월 26일","332.63","334.60","336.46","332.01","3.60M","-0.17%"
"2019년 12월 24일","333.20","334.01","335.70","331.60","2.02M","0.03%"
